,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,reduksjon_termiskbehov,reduksjon_elektriskbehov,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario,scenario_navn
0,1,nyeBygg,P3,,,Gartnerhaugveien 1,0,0,Andre,TEK10/TEK17,100,0,0,10.442133,63.4513,False,True,False,False,False,False,0,0,False,[0.93065286 0.9362721  0.98133074 ... 0.89575125 0.86073803 0.8721658 ],[0.98506758 0.97158853 0.96864455 ... 1.08141337 1.05185105 1.025429  ],[0.78875192 0.8015782  0.85472444 ... 0.72270419 0.70461771 0.71507966],[0.14190094 0.1346939  0.1266063  ... 0.17304706 0.15612032 0.15708614],[0.98506758 0.97158853 0.96864455 ... 1.08141337 1.05185105 1.025429  ],0,0,0,0,0,0.0,0.0,[1.91572044 1.90786063 1.94997529 ... 1.97716462 1.91258908 1.8975948 ],20700.0,2.0,3.0,6974.307083559999,0.0,0,13744.907804819999,0.0,0.0,0.0,0.39703752999999997,0.0,0,1.3900422799999999,0.0,0.0,0.0,0.55411274,0.0,0,2.14077638,0.0,0.0,0.0,Mer bergvarme og solceller,Oppgradert bygningsmasse
1,2,nyeBygg,P3,,,Gartnerhaugveien 1,0,0,Andre,TEK10/TEK17,100,0,0,10.442183,63.451341,False,True,False,False,False,False,0,0,False,[0.93065286 0.9362721  0.98133074 ... 0.89575125 0.86073803 0.8721658 ],[0.98506758 0.97158853 0.96864455 ... 1.08141337 1.05185105 1.025429  ],[0.78875192 0.8015782  0.85472444 ... 0.72270419 0.70461771 0.71507966],[0.14190094 0.1346939  0.1266063  ... 0.17304706 0.15612032 0.15708614],[0.98506758 0.97158853 0.96864455 ... 1.08141337 1.05185105 1.025429  ],0,0,0,0,0,0.0,0.0,[1.91572044 1.90786063 1.94997529 ... 1.97716462 1.91258908 1.8975948 ],20700.0,2.0,3.0,6974.307083559999,0.0,0,13744.907804819999,0.0,0.0,0.0,0.39703752999999997,0.0,0,1.3900422799999999,0.0,0.0,0.0,0.55411274,0.0,0,2.14077638,0.0,0.0,0.0,Mer bergvarme og solceller,Oppgradert bygningsmasse
2,3,nyeBygg,P3,,,Gartnerhaugveien 1,0,0,Andre,TEK10/TEK17,100,0,0,10.442243,63.451378,True,True,False,False,False,True,0,0,False,[0.93065286 0.9362721  0.98133074 ... 0.89575125 0.86073803 0.8721658 ],[0.98506758 0.97158853 0.96864455 ... 1.08141337 1.05185105 1.025429  ],[0.78875192 0.8015782  0.85472444 ... 0.72270419 0.70461771 0.71507966],[0.14190094 0.1346939  0.1266063  ... 0.17304706 0.15612032 0.15708614],[0.98506758 0.97158853 0.96864455 ... 1.08141337 1.05185105 1.025429  ],[0.26590082 0.26750631 0.28038021 ... 0.25592893 0.24592515 0.24919023],"[-0.66475204 -0.66876579 -0.70095053 ... -0.63982232 -0.61481288
 -0.62297557]",[0. 0. 0. ... 0. 0. 0.],0,0,59.0,35400.0,[1.2509684  1.23909484 1.24902476 ... 1.3373423  1.2977762  1.27461923],16000.0,2.0,2.0,6974.307083559999,4732.752515771428,0,13744.907804819999,1893.1010063085714,348.4535614800001,0.0,0.39703752999999997,0.28359823571428566,0,1.3900422799999999,0.11343929428571431,0.0,0.0,0.55411274,0.3957948142857143,0,2.14077638,0.1583179257142857,0.0,0.0,Mer bergvarme og solceller,Oppgradert bygningsmasse
3,4,nyeBygg,P3,,,Østmarkveien 28U,0,0,Andre,TEK10/TEK17,730,0,0,10.444495,63.451755,True,True,False,False,False,True,0,0,False,[6.79376588 6.83478633 7.1637144  ... 6.53898412 6.28338762 6.36681034],[7.19099333 7.09259627 7.07110522 ... 7.8943176  7.67851266 7.4856317 ],[5.75788902 5.85152086 6.23948841 ... 5.27574059 5.14370928 5.22008152],[1.03587686 0.98326547 0.92422599 ... 1.26324354 1.13967834 1.14672882],[7.19099333 7.09259627 7.07110522 ... 7.8943176  7.67851266 7.4856317 ],[1.94107597 1.95279609 2.04677554 ... 1.86828118 1.79525361 1.81908867],"[-4.85268991 -4.88199024 -5.11693886 ... -4.67070295 -4.48813401
 -4.54772167]",[0. 0. 0. ... 0. 0. 0.],0,0,432.0,259200.0,[9.1320693  9.04539236 9.11788076 ... 9.76259878 9.47376627 9.30472037],116700.0,11.0,17.0,50912.441709987994,34549.09336513143,0,100337.826975186,13819.63734605257,2543.7109988040006,0.0,2.8983739689999997,2.0702671207142855,0,10.147308643999999,0.8281068482857141,0.0,0.0,4.045023002,2.889302144285714,0,15.627667574,1.155720857714286,0.0,0.0,Mer bergvarme og solceller,Oppgradert bygningsmasse
4,5,nyeBygg,P3,,,Østmarkveien 26F,0,0,Andre,TEK10/TEK17,2000,0,0,10.445724,63.451774,False,False,False,False,False,False,0,0,False,[18.6130572 18.725442  19.6266148 ... 17.915025  17.2147606 17.443316 ],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],[15.7750384 16.031564  17.0944888 ... 14.4540838 14.0923542 14.3015932],[2.8380188 2.693878  2.532126  ... 3.4609412 3.1224064 3.1417228],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],0,0,0,0,0,0.0,0.0,[38.3144088 38.1572126 38.9995058 ... 39.5432924 38.2517816 37.951896 ],414400.0,36.0,54.0,139486.1416712,0.0,0,274898.1560964,0.0,0.0,0.0,7.9407506,0.0,0,27.8008456,0.0,0.0,0.0,11.082254800000001,0.0,0,42.8155276,0.0,0.0,0.0,Mer bergvarme og solceller,Oppgradert bygningsmasse
5,6,nyeBygg,P3,,,Østmarkveien 26,0,0,Andre,TEK10/TEK17,2000,0,0,10.446209,63.451881,False,True,False,False,False,False,0,0,False,[18.6130572 18.725442  19.6266148 ... 17.915025  17.2147606 17.443316 ],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],[15.7750384 16.031564  17.0944888 ... 14.4540838 14.0923542 14.3015932],[2.8380188 2.693878  2.532126  ... 3.4609412 3.1224064 3.1417228],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],0,0,0,0,0,0.0,0.0,[38.3144088 38.1572126 38.9995058 ... 39.5432924 38.2517816 37.951896 ],414400.0,36.0,54.0,139486.1416712,0.0,0,274898.1560964,0.0,0.0,0.0,7.9407506,0.0,0,27.8008456,0.0,0.0,0.0,11.082254800000001,0.0,0,42.8155276,0.0,0.0,0.0,Mer bergvarme og solceller,Oppgradert bygningsmasse
6,7,nyeBygg,P3,,,Østmarkveien 26C,0,0,Andre,TEK10/TEK17,2000,0,0,10.447303,63.451959,True,True,False,False,False,True,0,0,False,[18.6130572 18.725442  19.6266148 ... 17.915025  17.2147606 17.443316 ],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],[15.7750384 16.031564  17.0944888 ... 14.4540838 14.0923542 14.3015932],[2.8380188 2.693878  2.532126  ... 3.4609412 3.1224064 3.1417228],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],[5.31801634 5.35012629 5.60760423 ... 5.11857857 4.91850303 4.98380457],"[-13.29504086 -13.37531571 -14.01901057 ... -12.79644643 -12.29625757
 -12.45951143]",[0. 0. 0. ... 0. 0. 0.],0,0,1183.0,709800.0,"[25.01936794 24.78189689 24.98049523 ... 26.74684597 25.95552403
 25.49238457]",319700.0,30.0,46.0,139486.1416712,94655.05031542857,0,274898.1560964,37862.020126171425,6969.071229600002,0.0,7.9407506,5.671964714285714,0,27.8008456,2.268785885714286,0.0,0.0,11.082254800000001,7.915896285714286,0,42.8155276,3.166358514285715,0.0,0.0,Mer bergvarme og solceller,Oppgradert bygningsmasse
7,8,nyeBygg,P3,,,Østmarkveien 26B,0,0,Andre,TEK10/TEK17,2000,0,0,10.447843,63.451992,False,True,False,False,False,False,0,0,False,[18.6130572 18.725442  19.6266148 ... 17.915025  17.2147606 17.443316 ],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],[15.7750384 16.031564  17.0944888 ... 14.4540838 14.0923542 14.3015932],[2.8380188 2.693878  2.532126  ... 3.4609412 3.1224064 3.1417228],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],0,0,0,0,0,0.0,0.0,[38.3144088 38.1572126 38.9995058 ... 39.5432924 38.2517816 37.951896 ],414400.0,36.0,54.0,139486.1416712,0.0,0,274898.1560964,0.0,0.0,0.0,7.9407506,0.0,0,27.8008456,0.0,0.0,0.0,11.082254800000001,0.0,0,42.8155276,0.0,0.0,0.0,Mer bergvarme og solceller,Oppgradert bygningsmasse
8,9,nyeBygg,P3,,,Østmarkveien 26,0,0,Andre,TEK10/TEK17,2000,0,0,10.448262,63.451855,False,False,False,False,False,False,0,0,False,[18.6130572 18.725442  19.6266148 ... 17.915025  17.2147606 17.443316 ],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],[15.7750384 16.031564  17.0944888 ... 14.4540838 14.0923542 14.3015932],[2.8380188 2.693878  2.532126  ... 3.4609412 3.1224064 3.1417228],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],0,0,0,0,0,0.0,0.0,[38.3144088 38.1572126 38.9995058 ... 39.5432924 38.2517816 37.951896 ],414400.0,36.0,54.0,139486.1416712,0.0,0,274898.1560964,0.0,0.0,0.0,7.9407506,0.0,0,27.8008456,0.0,0.0,0.0,11.082254800000001,0.0,0,42.8155276,0.0,0.0,0.0,Mer bergvarme og solceller,Oppgradert bygningsmasse
9,10,nyeBygg,P3,,,Østmarkveien 28C,0,0,Andre,TEK10/TEK17,2000,0,0,10.448161,63.452412,False,False,False,False,False,False,0,0,False,[18.6130572 18.725442  19.6266148 ... 17.915025  17.2147606 17.443316 ],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],[15.7750384 16.031564  17.0944888 ... 14.4540838 14.0923542 14.3015932],[2.8380188 2.693878  2.532126  ... 3.4609412 3.1224064 3.1417228],[19.7013516 19.4317706 19.372891  ... 21.6282674 21.037021  20.50858  ],0,0,0,0,0,0.0,0.0,[38.3144088 38.1572126 38.9995058 ... 39.5432924 38.2517816 37.951896 ],414400.0,36.0,54.0,139486.1416712,0.0,0,274898.1560964,0.0,0.0,0.0,7.9407506,0.0,0,27.8008456,0.0,0.0,0.0,11.082254800000001,0.0,0,42.8155276,0.0,0.0,0.0,Mer bergvarme og solceller,Oppgradert bygningsmasse
